name,year,latitude,longitude,city,region,zipCode,cuisine,price,stars
Mingles,2019,37.52219,127.0392,Seoul,South Korea,N/A,Korean contemporary,$$$,2
Alla Prima,2019,37.51844,127.03008,Seoul,South Korea,N/A,Innovative,$$$,2
Waku Ghin,2018,1.283175,103.8598,Singapore,Singapore,N/A,Japanese contemporary,$$$$$,2
Odette,2018,1.2896459,103.8516,Singapore,Singapore,N/A,French contemporary,$$$$,2
Shoukouwa,2018,1.2863698,103.854,Singapore,Singapore,N/A,Sushi,$$$$$,2
Shisen Hanten,2018,1.302395,103.8365,Singapore,Singapore,N/A,Chinese,$,2
Les Amis,2018,1.3066648,103.8314,Singapore,Singapore,N/A,French,$$$,2
Fäviken Magasinet,2019,63.43626,13.29337,Järpen,Sweden,837 94,Creative,$$$$,2
Gastrologik,2019,59.33365,18.0807,Stockholm,Sweden,114 51,Creative,$$$$,2
Oaxen Krog,2019,59.322342,18.101831,Stockholm,Sweden,11521,Creative,$$$$,2
Vollmers,2019,55.604427,12.995848,Malmö,Sweden,21133,Creative,$$$$,2
Daniel Berlin,2019,55.61246,13.99265,Skåne-Tranås,Sweden,273 92,Creative,$$$$,2
RAW,2019,25.082666,121.559525,Taipei,Taipei,110,Innovative,$$$,2
Shoun RyuGin,2019,25.08258,121.5595,Taipei,Taipei,110,Japanese contemporary,$$$$,2
Taïrroir,2019,25.082718,121.559296,Taipei,Taipei,110,Innovative,$$$,2
Sushi Amamoto,2019,25.037945,121.55487,Taipei,Taipei,110,Sushi,$$$$,2
The Guest House,2019,25.04486,121.52198,Taipei,Taipei,110,Sichuan-Huai Yang,$$,2
Gaggan,2019,13.737679,100.542145,Bangkok,Thailand,N/A,Innovative,$$$$$,2
Sühring,2019,13.710947,100.545654,Bangkok,Thailand,N/A,European contemporary,$$$$,2
Mezzaluna,2019,13.722148,100.51691,Bangkok,Thailand,N/A,Innovative,$$$$$,2
Le Normandie,2019,13.723197,100.513855,Bangkok,Thailand,N/A,French contemporary,$$$$,2
minibar,2019,38.896294,-77.02386,"Washington, D.C.",Washington DC,20004,Contemporary,$$$$,2
Pineapple and Pearls,2019,38.880707,-76.99514,"Washington, D.C.",Washington DC,20003,Contemporary,$$$$,2
Andrew Fairlie at Gleneagles,2019,56.28339,-3.75149,Auchterarder,United Kingdom,PH3 1NF,Creative French,N/A,2
L'Enclume,2019,54.201885,-2.953807,Cartmel,United Kingdom,LA11 6PZ,Creative,N/A,2
Raby Hunt,2019,54.56647,-1.689258,Summerhouse,United Kingdom,DL2 3UD,Modern British,N/A,2
Moor Hall,2019,53.54162,-2.8895495,Aughton,United Kingdom,L39 6RT,Modern British,N/A,2
Restaurant Sat Bains,2019,52.92438,-1.1733198,Nottingham,United Kingdom,NG7 2SA,Creative,N/A,2
Restaurant Nathan Outlaw,2019,50.594086,-4.82854,Port Isaac,United Kingdom,PL29 3SB,Seafood,N/A,2
Belmond Le Manoir aux Quat' Saisons,2019,51.71674,-1.09187,Great Milton,United Kingdom,OX44 7PD,French,N/A,2
Midsummer House,2019,52.21243,0.12779,Cambridge,United Kingdom,CB4 1HA,Modern cuisine,N/A,2
Hand and Flowers,2019,51.57031,-0.78113,Marlow,United Kingdom,SL7 2BP,Modern British,N/A,2
Ledbury,2019,51.51674,-0.20007,North Kensington,United Kingdom,W11 2AQ,Modern cuisine,N/A,2
CORE by Clare Smyth,2019,51.51261,-0.2030516,North Kensington,United Kingdom,W11 2PN,Modern British,N/A,2
Le Gavroche,2019,51.51127,-0.15517,Mayfair,United Kingdom,W1K 7QR,French,N/A,2
Kitchen Table at Bubbledogs,2019,51.52041,-0.13647,Bloomsbury,United Kingdom,W1T 4QG,Modern cuisine,N/A,2
Hélène Darroze at The Connaught,2019,51.5101,-0.1495701,Mayfair,United Kingdom,W1K 2AL,Modern cuisine,N/A,2
Dinner by Heston Blumenthal,2019,51.50208,-0.16011,Hyde Park,United Kingdom,SW1X 7LA,Traditional British,N/A,2
Umu,2019,51.5113,-0.14455,Mayfair,United Kingdom,W1J 6LX,Japanese,N/A,2
Sketch (The Lecture Room & Library),2019,51.51287,-0.14136,Mayfair,United Kingdom,W1S 2XG,Modern French,N/A,2
Greenhouse,2019,51.50769,-0.14926,Mayfair,United Kingdom,W1J 5NY,Creative,N/A,2
